physician_profile_id,physician_first_name,physician_last_name,submitting_applicable_manufacturer_or_applicable_gpo_name,total_amount_of_payment_usdollars,date_of_payment,nature_of_payment_or_transfer_of_value
258689,JAMES,APPLETON,Integra LifeSciences Corporation,72.4,6/23/2020,Food and Beverage
153741,JAMES,BEEBE,Integra LifeSciences Corporation,77.81,9/23/2020,Food and Beverage
153741,JAMES,BEEBE,Integra LifeSciences Corporation,28.49,9/26/2020,Food and Beverage
153741,JAMES,BEEBE,Integra LifeSciences Corporation,24.56,10/19/2020,Food and Beverage
153741,JAMES,BEEBE,Integra LifeSciences Corporation,29.37,10/21/2020,Food and Beverage
153741,JAMES,BEEBE,Integra LifeSciences Corporation,8.89,10/22/2020,Food and Beverage
153741,JAMES,BEEBE,Integra LifeSciences Corporation,38.4,11/3/2020,Food and Beverage
153741,JAMES,BEEBE,Integra LifeSciences Corporation,30.64,11/19/2020,Food and Beverage
153741,JAMES,BEEBE,Integra LifeSciences Corporation,36.87,12/7/2020,Food and Beverage
106671,JAMES,BRANCH,Integra LifeSciences Corporation,130.41,1/9/2020,Food and Beverage
2788645,JAMES,BREWSTER,Integra LifeSciences Corporation,141.57,2/26/2020,Food and Beverage
787187,JAMES,BRIED,Integra LifeSciences Corporation,21.47,10/7/2020,Food and Beverage
169586,JAMES,BRODSKY,Integra LifeSciences Corporation,27.64,3/3/2020,Food and Beverage
99850,JAMES,BURKE,Integra LifeSciences Corporation,85.27,10/6/2020,Food and Beverage
312286,JAMES,BUTTERWORTH,Integra LifeSciences Corporation,86.29,1/10/2020,Food and Beverage
312286,JAMES,BUTTERWORTH,Integra LifeSciences Corporation,51.99,1/11/2020,Food and Beverage
63164,JAMES,CARLTON,Integra LifeSciences Corporation,20.1,2/27/2020,Food and Beverage
863178,JAMES,CARRAWAY,Integra LifeSciences Corporation,24.31,9/17/2020,Food and Beverage
518402,JAMES,CHANG,Integra LifeSciences Corporation,119.52,1/15/2020,Food and Beverage
186253,JAMES,CHAO,Integra LifeSciences Corporation,12.39,6/1/2020,Food and Beverage
924496,JAMES,COOK,Integra LifeSciences Corporation,28.66,2/27/2020,Food and Beverage
924838,JAMES,COTTOM,Integra LifeSciences Corporation,106.43,2/13/2020,Food and Beverage
4932344,JAMES,DUTTON,Integra LifeSciences Corporation,85.27,10/6/2020,Food and Beverage
258089,JAMES,EGNATCHIK,Integra LifeSciences Corporation,19.52,12/16/2020,Food and Beverage
260360,JAMES,FELFOLDI,Integra LifeSciences Corporation,29.3,6/18/2020,Food and Beverage
183107,JAMES,FERNAU,Integra LifeSciences Corporation,15.25,3/12/2020,Food and Beverage
183107,JAMES,FERNAU,Integra LifeSciences Corporation,11.21,7/22/2020,Food and Beverage
183107,JAMES,FERNAU,Integra LifeSciences Corporation,43.16,8/14/2020,Food and Beverage
183107,JAMES,FERNAU,Integra LifeSciences Corporation,36.08,12/31/2020,Food and Beverage
299607,JAMES,FITZPATRICK,Integra LifeSciences Corporation,20.1,2/27/2020,Food and Beverage
1264180,JAMES,FLETCHER,Integra LifeSciences Corporation,28.53,2/7/2020,Food and Beverage
1264180,JAMES,FLETCHER,Integra LifeSciences Corporation,7.15,2/12/2020,Food and Beverage
1264180,JAMES,FLETCHER,Integra LifeSciences Corporation,38.19,2/14/2020,Food and Beverage
1264180,JAMES,FLETCHER,Integra LifeSciences Corporation,5.24,9/14/2020,Food and Beverage
1264180,JAMES,FLETCHER,Integra LifeSciences Corporation,5.66,9/21/2020,Food and Beverage
1264180,JAMES,FLETCHER,Integra LifeSciences Corporation,1.85,10/7/2020,Food and Beverage
1264180,JAMES,FLETCHER,Integra LifeSciences Corporation,40.32,10/13/2020,Food and Beverage
1264180,JAMES,FLETCHER,Integra LifeSciences Corporation,46.73,11/3/2020,Food and Beverage
1264180,JAMES,FLETCHER,Integra LifeSciences Corporation,7.62,11/3/2020,Food and Beverage
1264180,JAMES,FLETCHER,Integra LifeSciences Corporation,9.87,11/25/2020,Food and Beverage
1264180,JAMES,FLETCHER,Integra LifeSciences Corporation,5.78,12/16/2020,Food and Beverage
109289,JAMES,FLOYD,Integra LifeSciences Corporation,13.05,3/12/2020,Food and Beverage
54283,JAMES,FULLWOOD,Integra LifeSciences Corporation,33.62,1/28/2020,Food and Beverage
2790710,JAMES,GATHERWRIGHT,Integra LifeSciences Corporation,14.73,3/6/2020,Food and Beverage
299321,JAMES,GIROLAMI,Integra LifeSciences Corporation,11.81,1/7/2020,Food and Beverage
299321,JAMES,GIROLAMI,Integra LifeSciences Corporation,24.1,11/16/2020,Food and Beverage
299321,JAMES,GIROLAMI,Integra LifeSciences Corporation,28.72,12/4/2020,Food and Beverage
73552,JAMES,GOOD,Integra LifeSciences Corporation,13.44,1/14/2020,Food and Beverage
516374,JAMES,GREER,Integra LifeSciences Corporation,18.06,11/17/2020,Food and Beverage
573537,JAMES,HARPER,Integra LifeSciences Corporation,22.3,1/6/2020,Food and Beverage
717644,JAMES,HARPER,Integra LifeSciences Corporation,92.4,1/29/2020,Food and Beverage
573537,JAMES,HARPER,Integra LifeSciences Corporation,15.34,6/10/2020,Food and Beverage
573537,JAMES,HARPER,Integra LifeSciences Corporation,103.83,8/17/2020,Food and Beverage
573537,JAMES,HARPER,Integra LifeSciences Corporation,22.07,9/9/2020,Food and Beverage
324335,JAMES,HIGGINS,Integra LifeSciences Corporation,12.7,10/9/2020,Food and Beverage
1365233,JAMES,HUISH,Integra LifeSciences Corporation,13.13,9/23/2020,Food and Beverage
601722,JAMES,HWANG,Integra LifeSciences Corporation,130.61,2/4/2020,Food and Beverage
1104952,JAMES,JOHNSON,Integra LifeSciences Corporation,15,11/18/2020,Food and Beverage
1339089,JAMES,KURTZ,Integra LifeSciences Corporation,17.27,10/20/2020,Food and Beverage
312438,JAMES,LAPOLLA,Integra LifeSciences Corporation,11.66,12/7/2020,Food and Beverage
93154,JAMES,LAROSE,Integra LifeSciences Corporation,25.3,9/16/2020,Food and Beverage
93154,JAMES,LAROSE,Integra LifeSciences Corporation,13.86,6/5/2020,Food and Beverage
740515,JAMES,LEE,Integra LifeSciences Corporation,11.83,2/13/2020,Food and Beverage
237170,JAMES,LILJA,Integra LifeSciences Corporation,11.37,7/14/2020,Food and Beverage
1267458,JAMES,LOGAN,Integra LifeSciences Corporation,66.75,3/6/2020,Food and Beverage
80858,JAMES,LONGOBARDI,Integra LifeSciences Corporation,30.42,7/10/2020,Food and Beverage
80858,JAMES,LONGOBARDI,Integra LifeSciences Corporation,23.41,11/5/2020,Food and Beverage
42523,JAMES,LYNCH,Integra LifeSciences Corporation,21.92,1/21/2020,Food and Beverage
325781,JAMES,MCCLELLAND,Integra LifeSciences Corporation,17.55,11/11/2020,Food and Beverage
120066,JAMES,MCGEE,Integra LifeSciences Corporation,34.11,2/4/2020,Food and Beverage
293809,JAMES,MCWILLIAM,Integra LifeSciences Corporation,28.32,10/30/2020,Food and Beverage
680696,JAMES,MERRELL,Integra LifeSciences Corporation,16.94,7/21/2020,Food and Beverage
26181,JAMES,MITCHELL,Integra LifeSciences Corporation,21.69,2/20/2020,Food and Beverage
81566,JAMES,O TOOLE,Integra LifeSciences Corporation,17.6,7/15/2020,Food and Beverage
81566,JAMES,O TOOLE,Integra LifeSciences Corporation,15.82,10/7/2020,Food and Beverage
1053799,JAMES,PACHOLKA,Integra LifeSciences Corporation,24.06,1/21/2020,Food and Beverage
2791255,JAMES,PARKER,Integra LifeSciences Corporation,14.27,6/26/2020,Food and Beverage
240136,JAMES,PARLON,Integra LifeSciences Corporation,23.23,2/7/2020,Food and Beverage
240136,JAMES,PARLON,Integra LifeSciences Corporation,23.37,3/6/2020,Food and Beverage
241611,JAMES,PFEIFF,Integra LifeSciences Corporation,15.16,2/19/2020,Food and Beverage
1266017,JAMES,PINGREE,Integra LifeSciences Corporation,29.04,6/23/2020,Food and Beverage
10380,JAMES,RIDER,Integra LifeSciences Corporation,12.48,3/31/2020,Food and Beverage
342639,JAMES,ROBINSON,Integra LifeSciences Corporation,12.09,2/6/2020,Food and Beverage
203551,JAMES,ROUGH,Integra LifeSciences Corporation,13.04,1/9/2020,Food and Beverage
141776,JAMES,RUST,Integra LifeSciences Corporation,19.67,3/5/2020,Food and Beverage
84210,JAMES,SHEPICH,Integra LifeSciences Corporation,11.92,9/24/2020,Food and Beverage
303453,JAMES,SLABY,Integra LifeSciences Corporation,56.01,1/22/2020,Food and Beverage
276168,JAMES,TATUM,Integra LifeSciences Corporation,69.52,9/2/2020,Food and Beverage
669346,JAMES,THOMAS,Integra LifeSciences Corporation,46.4,2/25/2020,Food and Beverage
1392829,JAMES,VESTILE,Integra LifeSciences Corporation,13.24,1/30/2020,Food and Beverage
1392829,JAMES,VESTILE,Integra LifeSciences Corporation,51.45,2/17/2020,Food and Beverage
1277293,JAMES,WALKER,Integra LifeSciences Corporation,18.07,1/28/2020,Food and Beverage
914364,JAMES,WALLER,Integra LifeSciences Corporation,25,8/13/2020,Food and Beverage
914364,JAMES,WALLER,Integra LifeSciences Corporation,18.77,9/1/2020,Food and Beverage
7686,JAMES,WALTER,Integra LifeSciences Corporation,21.7,1/23/2020,Food and Beverage
163234,JAMES,WILSON,Integra LifeSciences Corporation,24.32,2/14/2020,Food and Beverage
148304,JAMES,WOMACK,Integra LifeSciences Corporation,25.42,2/17/2020,Food and Beverage
4247785,JAMES,WRIGHT,Integra LifeSciences Corporation,22.33,2/21/2020,Food and Beverage
4247785,JAMES,WRIGHT,Integra LifeSciences Corporation,134.59,2/20/2020,Food and Beverage
316819,JAMES BRAXTON,LITTLE,Integra LifeSciences Corporation,15.25,3/6/2020,Food and Beverage
316819,JAMES BRAXTON,LITTLE,Integra LifeSciences Corporation,13.18,6/12/2020,Food and Beverage
189724,JAMIE,CLECKLER,Integra LifeSciences Corporation,14.29,10/9/2020,Food and Beverage
1304684,JAMIE,MIERAS,Integra LifeSciences Corporation,12.19,1/21/2020,Food and Beverage
621867,JAMISON,ALEXANDER,Integra LifeSciences Corporation,16.96,2/10/2020,Food and Beverage
234626,JAN,TEPPER,Integra LifeSciences Corporation,24.79,3/19/2020,Food and Beverage
234626,JAN,TEPPER,Integra LifeSciences Corporation,19.13,7/14/2020,Food and Beverage
234626,JAN,TEPPER,Integra LifeSciences Corporation,12.57,8/18/2020,Food and Beverage
426814,JAN,VARGAS MACHAJ,Integra LifeSciences Corporation,86.29,1/13/2020,Food and Beverage
426814,JAN,VARGAS MACHAJ,Integra LifeSciences Corporation,54.21,2/18/2020,Food and Beverage
1318461,JANALE,BECKFORD,Integra LifeSciences Corporation,12.56,10/21/2020,Food and Beverage
1318461,JANALE,BECKFORD,Integra LifeSciences Corporation,19.01,12/21/2020,Food and Beverage
242092,JANET,ALVARADO,Integra LifeSciences Corporation,11.56,2/25/2020,Food and Beverage
151282,JANICE,PLAXE,Integra LifeSciences Corporation,18.87,8/18/2020,Food and Beverage
551040,JARED,BRATVOLD,Integra LifeSciences Corporation,12.28,1/22/2020,Food and Beverage
278778,JARED,BUNEVICH,Integra LifeSciences Corporation,90.83,1/29/2020,Food and Beverage
3234770,JARED,CICERO,Integra LifeSciences Corporation,11.59,3/26/2020,Food and Beverage
1307198,JARED,DAVIS,Integra LifeSciences Corporation,159.15,2/21/2020,Food and Beverage
1307198,JARED,DAVIS,Integra LifeSciences Corporation,7.21,6/22/2020,Food and Beverage
1307198,JARED,DAVIS,Integra LifeSciences Corporation,160,12/9/2020,Food and Beverage
5701946,JARED,FUNSTON,Integra LifeSciences Corporation,32.02,12/4/2020,Food and Beverage
286978,JARED,MALAN,Integra LifeSciences Corporation,12.41,9/29/2020,Food and Beverage
6895345,JARED,MINSON,Integra LifeSciences Corporation,28.77,1/28/2020,Food and Beverage
6895345,JARED,MINSON,Integra LifeSciences Corporation,41.25,2/11/2020,Food and Beverage
6895345,JARED,MINSON,Integra LifeSciences Corporation,33.43,2/21/2020,Food and Beverage
6895345,JARED,MINSON,Integra LifeSciences Corporation,12.06,2/25/2020,Food and Beverage
6895345,JARED,MINSON,Integra LifeSciences Corporation,27.38,9/22/2020,Food and Beverage
6895345,JARED,MINSON,Integra LifeSciences Corporation,18.12,9/29/2020,Food and Beverage
6895345,JARED,MINSON,Integra LifeSciences Corporation,23.98,10/21/2020,Food and Beverage
6895345,JARED,MINSON,Integra LifeSciences Corporation,12.24,10/27/2020,Food and Beverage
6895345,JARED,MINSON,Integra LifeSciences Corporation,21.2,11/3/2020,Food and Beverage
6895345,JARED,MINSON,Integra LifeSciences Corporation,22.1,12/1/2020,Food and Beverage
6895345,JARED,MINSON,Integra LifeSciences Corporation,23.63,12/22/2020,Food and Beverage
35359,JARED,SNYDER,Integra LifeSciences Corporation,125.91,2/20/2020,Food and Beverage
35359,JARED,SNYDER,Integra LifeSciences Corporation,10.37,4/3/2020,Food and Beverage
35359,JARED,SNYDER,Integra LifeSciences Corporation,10.86,6/16/2020,Food and Beverage
35359,JARED,SNYDER,Integra LifeSciences Corporation,13.17,1/22/2020,Food and Beverage
262118,JARED,STORCK,Integra LifeSciences Corporation,11.87,3/3/2020,Food and Beverage
1388544,JARED,TROY,Integra LifeSciences Corporation,12.42,3/10/2020,Food and Beverage
6673900,JARRED,ALI,Integra LifeSciences Corporation,93.75,2/28/2020,Food and Beverage
6673900,JARRED,ALI,Integra LifeSciences Corporation,29.43,3/4/2020,Food and Beverage
278487,JARROD,KAUFMAN,Integra LifeSciences Corporation,14.84,12/18/2020,Food and Beverage
59648,JARROD,SHAPIRO,Integra LifeSciences Corporation,18.66,1/23/2020,Food and Beverage
1257685,JASHAN,VALJEE,Integra LifeSciences Corporation,11.66,11/18/2020,Food and Beverage
298352,JASON,ANDERSON,Integra LifeSciences Corporation,68.01,1/8/2020,Food and Beverage
298352,JASON,ANDERSON,Integra LifeSciences Corporation,8.77,3/10/2020,Food and Beverage
298352,JASON,ANDERSON,Integra LifeSciences Corporation,46.7,8/11/2020,Food and Beverage
298352,JASON,ANDERSON,Integra LifeSciences Corporation,28.87,11/2/2020,Food and Beverage
209953,JASON,BAILEY,Integra LifeSciences Corporation,15.29,2/25/2020,Food and Beverage
209953,JASON,BAILEY,Integra LifeSciences Corporation,12.11,11/10/2020,Food and Beverage
57202,JASON,BELL,Integra LifeSciences Corporation,22.78,2/25/2020,Food and Beverage
480011,JASON,BICKEL,Integra LifeSciences Corporation,44.94,11/17/2020,Food and Beverage
918704,JASON,BOUDREAU,Integra LifeSciences Corporation,14.85,7/20/2020,Food and Beverage
1275176,JASON,BURKLE,Integra LifeSciences Corporation,15.03,1/31/2020,Food and Beverage
1275176,JASON,BURKLE,Integra LifeSciences Corporation,123.17,2/26/2020,Food and Beverage
1275176,JASON,BURKLE,Integra LifeSciences Corporation,12.83,4/6/2020,Food and Beverage
1064812,JASON,CLARK,Integra LifeSciences Corporation,35.66,8/5/2020,Food and Beverage
1064812,JASON,CLARK,Integra LifeSciences Corporation,3.71,9/16/2020,Food and Beverage
1064812,JASON,CLARK,Integra LifeSciences Corporation,56.51,9/16/2020,Food and Beverage
1064812,JASON,CLARK,Integra LifeSciences Corporation,38.5,9/25/2020,Food and Beverage
1064812,JASON,CLARK,Integra LifeSciences Corporation,5.67,10/9/2020,Food and Beverage
956758,JASON,COHEN,Integra LifeSciences Corporation,25.11,1/3/2020,Food and Beverage
646725,JASON,DEVRIES,Integra LifeSciences Corporation,16.94,9/2/2020,Food and Beverage
949884,JASON,DEVRIES,Integra LifeSciences Corporation,30.55,1/9/2020,Food and Beverage
64421,JASON,DUDAS,Integra LifeSciences Corporation,32.3,9/16/2020,Food and Beverage
1110091,JASON,FANUELE,Integra LifeSciences Corporation,31.74,12/9/2020,Food and Beverage
272175,JASON,FELTON,Integra LifeSciences Corporation,26,5/18/2020,Food and Beverage
226944,JASON,FOND,Integra LifeSciences Corporation,19.17,1/20/2020,Food and Beverage
265517,JASON,FORBES,Integra LifeSciences Corporation,4.6,1/9/2020,Food and Beverage
265517,JASON,FORBES,Integra LifeSciences Corporation,13.51,1/11/2020,Food and Beverage
265517,JASON,FORBES,Integra LifeSciences Corporation,4.11,1/23/2020,Food and Beverage
265517,JASON,FORBES,Integra LifeSciences Corporation,13.51,1/28/2020,Food and Beverage
265517,JASON,FORBES,Integra LifeSciences Corporation,4.94,2/4/2020,Food and Beverage
265517,JASON,FORBES,Integra LifeSciences Corporation,4.96,2/13/2020,Food and Beverage
265517,JASON,FORBES,Integra LifeSciences Corporation,4.45,2/24/2020,Food and Beverage
265517,JASON,FORBES,Integra LifeSciences Corporation,15.59,3/3/2020,Food and Beverage
265517,JASON,FORBES,Integra LifeSciences Corporation,3.83,3/11/2020,Food and Beverage
265517,JASON,FORBES,Integra LifeSciences Corporation,10.62,3/27/2020,Food and Beverage
265517,JASON,FORBES,Integra LifeSciences Corporation,13.42,4/4/2020,Food and Beverage
265517,JASON,FORBES,Integra LifeSciences Corporation,10.66,5/5/2020,Food and Beverage
265517,JASON,FORBES,Integra LifeSciences Corporation,12.36,6/9/2020,Food and Beverage
265517,JASON,FORBES,Integra LifeSciences Corporation,18.06,7/11/2020,Food and Beverage
265517,JASON,FORBES,Integra LifeSciences Corporation,7.37,8/24/2020,Food and Beverage
265517,JASON,FORBES,Integra LifeSciences Corporation,7.84,9/24/2020,Food and Beverage
1310367,JASON,FOWLER,Integra LifeSciences Corporation,32.02,9/10/2020,Food and Beverage
262165,JASON,GALANTE,Integra LifeSciences Corporation,15.43,8/20/2020,Food and Beverage
262165,JASON,GALANTE,Integra LifeSciences Corporation,14.99,10/29/2020,Food and Beverage
262165,JASON,GALANTE,Integra LifeSciences Corporation,21.05,9/17/2020,Food and Beverage
132225,JASON,GARRISON,Integra LifeSciences Corporation,21.02,1/14/2020,Food and Beverage
26879,JASON,GROVE,Integra LifeSciences Corporation,28.4,7/9/2020,Food and Beverage
488003,JASON,HAWKSWORTH,Integra LifeSciences Corporation,26.42,11/12/2020,Food and Beverage
35106,JASON,HIATT,Integra LifeSciences Corporation,16.32,1/10/2020,Food and Beverage
35106,JASON,HIATT,Integra LifeSciences Corporation,16.13,1/23/2020,Food and Beverage
35106,JASON,HIATT,Integra LifeSciences Corporation,13.35,7/1/2020,Food and Beverage
35106,JASON,HIATT,Integra LifeSciences Corporation,15.18,11/13/2020,Food and Beverage
35106,JASON,HIATT,Integra LifeSciences Corporation,15,11/18/2020,Food and Beverage
7937433,JASON,KAJBAF,Integra LifeSciences Corporation,109.29,11/19/2020,Food and Beverage
337009,JASON,KALK,Integra LifeSciences Corporation,13.47,12/1/2020,Food and Beverage
1297230,JASON,KAYCE,Integra LifeSciences Corporation,12.67,9/24/2020,Food and Beverage
146247,JASON,KEMPENICH,Integra LifeSciences Corporation,57.49,2/26/2020,Food and Beverage
672132,JASON,KHADAVI,Integra LifeSciences Corporation,24.64,1/16/2020,Food and Beverage
6306691,JASON,KIM,Integra LifeSciences Corporation,16.62,11/14/2020,Food and Beverage
374982,JASON,KO,Integra LifeSciences Corporation,66.11,3/10/2020,Food and Beverage
374982,JASON,KO,Integra LifeSciences Corporation,25,3/12/2020,Food and Beverage
374982,JASON,KO,Integra LifeSciences Corporation,146.14,9/1/2020,Food and Beverage
84491,JASON,LUTTRELL,Integra LifeSciences Corporation,14.37,10/27/2020,Food and Beverage
84491,JASON,LUTTRELL,Integra LifeSciences Corporation,63.74,11/25/2020,Food and Beverage
84491,JASON,LUTTRELL,Integra LifeSciences Corporation,55.47,12/9/2020,Food and Beverage
84491,JASON,LUTTRELL,Integra LifeSciences Corporation,37.48,12/15/2020,Food and Beverage
2785361,JASON,MCKEAN,Integra LifeSciences Corporation,40.99,2/7/2020,Food and Beverage
1401665,JASON,MENDIVIL,Integra LifeSciences Corporation,14.84,1/22/2020,Food and Beverage
327680,JASON,MILLER,Integra LifeSciences Corporation,28.76,2/28/2020,Food and Beverage
327680,JASON,MILLER,Integra LifeSciences Corporation,41.1,3/4/2020,Food and Beverage
1121527,JASON,MOELLINGER,Integra LifeSciences Corporation,148.52,11/12/2020,Food and Beverage
335249,JASON,MORRIS,Integra LifeSciences Corporation,7.05,1/22/2020,Food and Beverage
335249,JASON,MORRIS,Integra LifeSciences Corporation,96.9,1/22/2020,Food and Beverage
335249,JASON,MORRIS,Integra LifeSciences Corporation,14.83,3/2/2020,Food and Beverage
335249,JASON,MORRIS,Integra LifeSciences Corporation,10.81,8/10/2020,Food and Beverage
335249,JASON,MORRIS,Integra LifeSciences Corporation,88.37,9/18/2020,Food and Beverage
335249,JASON,MORRIS,Integra LifeSciences Corporation,12.9,11/12/2020,Food and Beverage
837784,JASON,NOVICK,Integra LifeSciences Corporation,34.05,2/7/2020,Food and Beverage
837784,JASON,NOVICK,Integra LifeSciences Corporation,32.23,6/12/2020,Food and Beverage
837784,JASON,NOVICK,Integra LifeSciences Corporation,44.5,10/2/2020,Food and Beverage
837784,JASON,NOVICK,Integra LifeSciences Corporation,3.05,10/30/2020,Food and Beverage
109070,JASON,NYDICK,Integra LifeSciences Corporation,50.79,11/5/2020,Food and Beverage
52858,JASON,ODELL,Integra LifeSciences Corporation,13.74,10/15/2020,Food and Beverage
189267,JASON,PARK,Integra LifeSciences Corporation,13.63,12/8/2020,Food and Beverage
135556,JASON,PAXTON,Integra LifeSciences Corporation,21.37,2/19/2020,Food and Beverage
747866,JASON,SANDERS,Integra LifeSciences Corporation,13,3/11/2020,Food and Beverage
90670,JASON,SNYDER,Integra LifeSciences Corporation,76.74,11/3/2020,Food and Beverage
90670,JASON,SNYDER,Integra LifeSciences Corporation,50.21,11/14/2020,Food and Beverage
5025,JASON,SPECTOR,Integra LifeSciences Corporation,26.26,7/14/2020,Food and Beverage
7229531,JASON,THOMPSON,Integra LifeSciences Corporation,28.34,9/3/2020,Food and Beverage
7229531,JASON,THOMPSON,Integra LifeSciences Corporation,43.19,10/28/2020,Food and Beverage
122691,JASON,WILSON,Integra LifeSciences Corporation,133.62,2/19/2020,Food and Beverage
5353593,JASON,WRIGHT,Integra LifeSciences Corporation,23.19,3/7/2020,Food and Beverage
7072233,JAVERIA,HUSSAINI,Integra LifeSciences Corporation,44.91,1/24/2020,Food and Beverage
233936,JAVIER,LA FONTAINE,Integra LifeSciences Corporation,66.37,2/18/2020,Food and Beverage
145868,JAVIER,PLACER,Integra LifeSciences Corporation,27.43,9/30/2020,Food and Beverage
1384453,JAVIER,TELLAGORRY,Integra LifeSciences Corporation,21.69,2/19/2020,Food and Beverage
4222877,JAWAD,KHAN,Integra LifeSciences Corporation,13.39,2/25/2020,Food and Beverage
55187,JAWAD,MALIK,Integra LifeSciences Corporation,56.59,8/28/2020,Food and Beverage
55187,JAWAD,MALIK,Integra LifeSciences Corporation,20.75,8/28/2020,Food and Beverage
55187,JAWAD,MALIK,Integra LifeSciences Corporation,36.59,9/15/2020,Food and Beverage
55187,JAWAD,MALIK,Integra LifeSciences Corporation,23.17,11/19/2020,Food and Beverage
424514,JAY,CHRISTENSEN,Integra LifeSciences Corporation,30.55,1/9/2020,Food and Beverage
122768,JAY,DUTTON,Integra LifeSciences Corporation,14.74,12/18/2020,Food and Beverage
153260,JAY,KIESSLING,Integra LifeSciences Corporation,13.07,9/29/2020,Food and Beverage
296611,JAY,LOGEMAN,Integra LifeSciences Corporation,138.38,1/6/2020,Food and Beverage
357848,JAY,PATEL,Integra LifeSciences Corporation,12.59,1/23/2020,Food and Beverage
357848,JAY,PATEL,Integra LifeSciences Corporation,13.31,8/17/2020,Food and Beverage
433636,JAY,ROBERTSON,Integra LifeSciences Corporation,24.92,10/7/2020,Food and Beverage
433636,JAY,ROBERTSON,Integra LifeSciences Corporation,16.18,12/1/2020,Food and Beverage
1298040,JAY,ROSENBERG,Integra LifeSciences Corporation,14.88,7/29/2020,Food and Beverage
1010641,JAYANT,CHIVATE,Integra LifeSciences Corporation,19.97,2/3/2020,Food and Beverage
110489,JAYER,CHUNG,Integra LifeSciences Corporation,28.86,3/12/2020,Food and Beverage
1330842,JEAN,PRATT,Integra LifeSciences Corporation,12.86,10/1/2020,Food and Beverage
508691,JEAN-NICOLAS,VAUTHEY,Integra LifeSciences Corporation,138.77,3/4/2020,Food and Beverage
508691,JEAN-NICOLAS,VAUTHEY,Integra LifeSciences Corporation,37.14,3/4/2020,Food and Beverage
409278,JEANINE,ANDERSSON,Integra LifeSciences Corporation,18.45,2/27/2020,Food and Beverage
409278,JEANINE,ANDERSSON,Integra LifeSciences Corporation,23.06,12/10/2020,Food and Beverage
1244066,JEANINE,BRINKLEY,Integra LifeSciences Corporation,17.32,1/8/2020,Food and Beverage
1244066,JEANINE,BRINKLEY,Integra LifeSciences Corporation,14.5,1/28/2020,Food and Beverage
816110,JEANNA,FASCIONE,Integra LifeSciences Corporation,20.62,2/12/2020,Food and Beverage
816110,JEANNA,FASCIONE,Integra LifeSciences Corporation,119.68,7/22/2020,Food and Beverage
4221280,JED,MASLOW,Integra LifeSciences Corporation,176.25,3/10/2020,Food and Beverage
3585280,JEETEN,SINGHA,Integra LifeSciences Corporation,79.83,10/20/2020,Food and Beverage
3585280,JEETEN,SINGHA,Integra LifeSciences Corporation,36.53,8/17/2020,Food and Beverage
3585280,JEETEN,SINGHA,Integra LifeSciences Corporation,5.21,9/1/2020,Food and Beverage
59038,JEFF,THOMAS,Integra LifeSciences Corporation,16.71,7/20/2020,Food and Beverage
59038,JEFF,THOMAS,Integra LifeSciences Corporation,17.46,9/28/2020,Food and Beverage
239973,JEFFERSON,CARTWRIGHT,Integra LifeSciences Corporation,16.2,3/17/2020,Food and Beverage
3367009,JEFFERY,ZIMMERMAN,Integra LifeSciences Corporation,105.11,2/26/2020,Food and Beverage
486410,JEFFREY,ALTHOFF,Integra LifeSciences Corporation,18.55,3/24/2020,Food and Beverage
486410,JEFFREY,ALTHOFF,Integra LifeSciences Corporation,14.33,4/29/2020,Food and Beverage
486410,JEFFREY,ALTHOFF,Integra LifeSciences Corporation,19.37,8/31/2020,Food and Beverage
486410,JEFFREY,ALTHOFF,Integra LifeSciences Corporation,17.97,11/4/2020,Food and Beverage
486410,JEFFREY,ALTHOFF,Integra LifeSciences Corporation,15.34,11/18/2020,Food and Beverage
192472,JEFFREY,BERGER,Integra LifeSciences Corporation,23.93,3/16/2020,Food and Beverage
101842,JEFFREY,BLANK,Integra LifeSciences Corporation,27.38,3/10/2020,Food and Beverage
220535,JEFFREY,BRADLEY,Integra LifeSciences Corporation,24.5,1/29/2020,Food and Beverage
220535,JEFFREY,BRADLEY,Integra LifeSciences Corporation,17.82,8/25/2020,Food and Beverage
1857061,JEFFREY,BROOKS,Integra LifeSciences Corporation,21.01,7/21/2020,Food and Beverage
169778,JEFFREY,BRUENING,Integra LifeSciences Corporation,18.66,1/23/2020,Food and Beverage
517368,JEFFREY,CAPLAN,Integra LifeSciences Corporation,14.06,3/4/2020,Food and Beverage
517368,JEFFREY,CAPLAN,Integra LifeSciences Corporation,22.27,9/21/2020,Food and Beverage
517368,JEFFREY,CAPLAN,Integra LifeSciences Corporation,23.04,12/21/2020,Food and Beverage
6820,JEFFREY,COCHRAN,Integra LifeSciences Corporation,85.01,8/28/2020,Food and Beverage
216527,JEFFREY,CONFORTI,Integra LifeSciences Corporation,28.36,1/21/2020,Food and Beverage
216527,JEFFREY,CONFORTI,Integra LifeSciences Corporation,23.34,10/7/2020,Food and Beverage
351806,JEFFREY,COOPER,Integra LifeSciences Corporation,41.02,11/16/2020,Food and Beverage
351806,JEFFREY,COOPER,Integra LifeSciences Corporation,40.64,8/13/2020,Food and Beverage
351806,JEFFREY,COOPER,Integra LifeSciences Corporation,38.53,9/29/2020,Food and Beverage
95203,JEFFREY,CRAMBLETT,Integra LifeSciences Corporation,52.8,12/16/2020,Food and Beverage
